"","from","to","weight","type","subtype","name"
"161",7,17,240.916603679058,"pottery","decor","braided_cord_roulette"
"162",7,22,7.86962051903807,"pottery","decor","braided_cord_roulette"
"163",2,8,20.10050251,"pottery","decor","braided_cord_roulette"
"164",2,3,6.78093923358131,"pottery","decor","braided_cord_roulette"
"165",2,10,457.0928196,"pottery","decor","braided_cord_roulette"
"166",2,11,415.69027,"pottery","decor","braided_cord_roulette"
"167",2,12,426.4264264,"pottery","decor","braided_cord_roulette"
"168",2,13,100,"pottery","decor","braided_cord_roulette"
"169",2,20,57.41626794,"pottery","decor","braided_cord_roulette"
"170",2,14,89.82035928,"pottery","decor","braided_cord_roulette"
"171",2,4,35.9666666666667,"pottery","decor","braided_cord_roulette"
"172",2,6,1.02249489,"pottery","decor","braided_cord_roulette"
"173",2,15,45.8404074702886,"pottery","decor","braided_cord_roulette"
"174",2,16,232.0099256,"pottery","decor","braided_cord_roulette"
"175",2,17,184.0490798,"pottery","decor","braided_cord_roulette"
"176",2,22,6.01202404809619,"pottery","decor","braided_cord_roulette"
"177",8,3,1.36300286084759,"pottery","decor","braided_cord_roulette"
"178",8,10,91.8779536767278,"pottery","decor","braided_cord_roulette"
"179",8,11,83.5558331551758,"pottery","decor","braided_cord_roulette"
"180",8,12,85.7138545418353,"pottery","decor","braided_cord_roulette"
"181",8,13,20.10050251,"pottery","decor","braided_cord_roulette"
"182",8,20,11.540958378428,"pottery","decor","braided_cord_roulette"
"183",8,14,18.0543435715674,"pottery","decor","braided_cord_roulette"
"184",8,4,7.22948073609667,"pottery","decor","braided_cord_roulette"
"185",8,6,0.205526611029072,"pottery","decor","braided_cord_roulette"
"186",8,15,9.21415225415959,"pottery","decor","braided_cord_roulette"
"187",8,16,46.6351609186771,"pottery","decor","braided_cord_roulette"
"188",8,17,36.9947899048309,"pottery","decor","braided_cord_roulette"
"189",8,22,1.20844704468938,"pottery","decor","braided_cord_roulette"
"190",3,10,30.9951863381394,"pottery","decor","braided_cord_roulette"
"191",3,11,28.1877046086101,"pottery","decor","braided_cord_roulette"
"192",3,12,28.9157168501163,"pottery","decor","braided_cord_roulette"
"193",3,13,6.78093923358131,"pottery","decor","braided_cord_roulette"
"194",3,20,3.89336223920163,"pottery","decor","braided_cord_roulette"
"195",3,14,6.09066398216121,"pottery","decor","braided_cord_roulette"
"196",3,4,2.43887781101141,"pottery","decor","braided_cord_roulette"
"197",3,6,0.0693347571573741,"pottery","decor","braided_cord_roulette"
"198",3,15,3.10841017498634,"pottery","decor","braided_cord_roulette"
"199",3,16,15.7324520708132,"pottery","decor","braided_cord_roulette"
"200",3,17,12.4802562612036,"pottery","decor","braided_cord_roulette"
"201",3,22,0.407671697409698,"pottery","decor","braided_cord_roulette"
"202",10,11,1900.09037594585,"pottery","decor","braided_cord_roulette"
"203",10,12,1949.16457595128,"pottery","decor","braided_cord_roulette"
"204",10,13,457.0928196,"pottery","decor","braided_cord_roulette"
"205",10,20,262.445638036037,"pottery","decor","braided_cord_roulette"
"206",10,14,410.562412807802,"pottery","decor","braided_cord_roulette"
"207",10,4,164.4010507828,"pottery","decor","braided_cord_roulette"
"208",10,6,4.67375072296692,"pottery","decor","braided_cord_roulette"
"209",10,15,209.533211022071,"pottery","decor","braided_cord_roulette"
"210",10,16,1060.5007106769,"pottery","decor","braided_cord_roulette"
"211",10,17,841.275128305674,"pottery","decor","braided_cord_roulette"
"212",10,22,27.4805302364729,"pottery","decor","braided_cord_roulette"
"213",11,12,1772.61316325351,"pottery","decor","braided_cord_roulette"
"214",11,13,415.69027,"pottery","decor","braided_cord_roulette"
"215",11,20,238.673839223709,"pottery","decor","braided_cord_roulette"
"216",11,14,373.374494006002,"pottery","decor","braided_cord_roulette"
"217",11,4,149.509933776667,"pottery","decor","braided_cord_roulette"
"218",11,6,4.2504117689772,"pottery","decor","braided_cord_roulette"
"219",11,15,190.554113582343,"pottery","decor","braided_cord_roulette"
"220",11,16,964.442686153439,"pottery","decor","braided_cord_roulette"
"221",11,17,765.074116753136,"pottery","decor","braided_cord_roulette"
"222",11,22,24.991398997996,"pottery","decor","braided_cord_roulette"
"223",12,13,426.4264264,"pottery","decor","braided_cord_roulette"
"224",12,20,244.838139548791,"pottery","decor","braided_cord_roulette"
"225",12,14,383.017748257345,"pottery","decor","braided_cord_roulette"
"226",12,4,153.371371361867,"pottery","decor","braided_cord_roulette"
"227",12,6,4.36018841954961,"pottery","decor","braided_cord_roulette"
"228",12,15,195.47561142275,"pottery","decor","braided_cord_roulette"
"229",12,16,989.351634629379,"pottery","decor","braided_cord_roulette"
"230",12,17,784.833913813224,"pottery","decor","braided_cord_roulette"
"231",12,22,25.6368593026052,"pottery","decor","braided_cord_roulette"
"232",13,20,57.41626794,"pottery","decor","braided_cord_roulette"
"233",13,14,89.82035928,"pottery","decor","braided_cord_roulette"
"234",13,4,35.9666666666667,"pottery","decor","braided_cord_roulette"
"235",13,6,1.02249489,"pottery","decor","braided_cord_roulette"
"236",13,15,45.8404074702886,"pottery","decor","braided_cord_roulette"
"237",13,16,232.0099256,"pottery","decor","braided_cord_roulette"
"238",13,17,184.0490798,"pottery","decor","braided_cord_roulette"
"239",13,22,6.01202404809619,"pottery","decor","braided_cord_roulette"
"240",20,14,51.5714981488755,"pottery","decor","braided_cord_roulette"
"241",20,4,20.65071770242,"pottery","decor","braided_cord_roulette"
"242",20,6,0.587078405715208,"pottery","decor","braided_cord_roulette"
"243",20,15,26.3198511779287,"pottery","decor","braided_cord_roulette"
"244",20,16,133.211440529891,"pottery","decor","braided_cord_roulette"
"245",20,17,105.674112799072,"pottery","decor","braided_cord_roulette"
"246",20,22,3.45187983607214,"pottery","decor","braided_cord_roulette"
"247",14,4,32.30538922104,"pottery","decor","braided_cord_roulette"
"248",14,6,0.918408583817641,"pottery","decor","braided_cord_roulette"
"249",14,15,41.1740186852292,"pottery","decor","braided_cord_roulette"
"250",14,16,208.392148739181,"pottery","decor","braided_cord_roulette"
"251",14,17,165.313544727894,"pottery","decor","braided_cord_roulette"
"252",14,22,5.4000216,"pottery","decor","braided_cord_roulette"
"253",4,6,0.36775732877,"pottery","decor","braided_cord_roulette"
"254",4,15,16.4872665534805,"pottery","decor","braided_cord_roulette"
"255",4,16,83.4462365741334,"pottery","decor","braided_cord_roulette"
"256",4,17,66.1963190347334,"pottery","decor","braided_cord_roulette"
"257",4,22,2.1623246492986,"pottery","decor","braided_cord_roulette"
"258",6,15,0.468715823938879,"pottery","decor","braided_cord_roulette"
"259",6,16,2.3722896335528,"pottery","decor","braided_cord_roulette"
"260",6,17,1.88189243604702,"pottery","decor","braided_cord_roulette"
"261",6,22,0.0614726386773547,"pottery","decor","braided_cord_roulette"
"262",15,16,106.354295266553,"pottery","decor","braided_cord_roulette"
"263",15,17,84.3688481256366,"pottery","decor","braided_cord_roulette"
"264",15,22,2.75593632085903,"pottery","decor","braided_cord_roulette"
"265",16,17,427.012133111465,"pottery","decor","braided_cord_roulette"
"266",16,22,13.9484925210421,"pottery","decor","braided_cord_roulette"
"267",17,22,11.0650749378757,"pottery","decor","braided_cord_roulette"
"268",7,9,5.82059494586675,"pottery","decor","cord_wrapped_roulette"
"269",7,3,0.730937577966101,"pottery","decor","cord_wrapped_roulette"
"270",7,11,0.241659953816832,"pottery","decor","cord_wrapped_roulette"
"271",7,13,1.293759513,"pottery","decor","cord_wrapped_roulette"
"272",7,14,16.2688322001759,"pottery","decor","cord_wrapped_roulette"
"273",7,4,5.6925418572,"pottery","decor","cord_wrapped_roulette"
"274",7,15,2.63584281086588,"pottery","decor","cord_wrapped_roulette"
"275",9,3,2.54179520056497,"pottery","decor","cord_wrapped_roulette"
"276",9,11,0.840359189754042,"pottery","decor","cord_wrapped_roulette"
"277",9,13,4.498977505,"pottery","decor","cord_wrapped_roulette"
"278",9,14,56.5739686284425,"pottery","decor","cord_wrapped_roulette"
"279",9,4,19.795501022,"pottery","decor","cord_wrapped_roulette"
"280",9,15,9.16599831239389,"pottery","decor","cord_wrapped_roulette"
"281",3,11,0.105530468361582,"pottery","decor","cord_wrapped_roulette"
"282",3,13,0.564971751412429,"pottery","decor","cord_wrapped_roulette"
"283",3,14,7.10443519774011,"pottery","decor","cord_wrapped_roulette"
"284",3,4,2.48587570621469,"pottery","decor","cord_wrapped_roulette"
"285",3,15,1.15104601306437,"pottery","decor","cord_wrapped_roulette"
"286",11,13,0.186788929,"pottery","decor","cord_wrapped_roulette"
"287",11,14,2.34884281987233,"pottery","decor","cord_wrapped_roulette"
"288",11,4,0.8218712876,"pottery","decor","cord_wrapped_roulette"
"289",11,15,0.380554694057725,"pottery","decor","cord_wrapped_roulette"
"290",13,14,12.5748503,"pottery","decor","cord_wrapped_roulette"
"291",13,4,4.4,"pottery","decor","cord_wrapped_roulette"
"292",13,15,2.03735144312394,"pottery","decor","cord_wrapped_roulette"
"293",14,4,55.32934132,"pottery","decor","cord_wrapped_roulette"
"294",14,15,25.6193894057725,"pottery","decor","cord_wrapped_roulette"
"295",4,15,8.96434634974534,"pottery","decor","cord_wrapped_roulette"
"296",8,9,72.6793476417861,"pottery","decor","dragged_comb"
"297",8,3,275.701471603185,"pottery","decor","dragged_comb"
"298",8,10,335.565744697872,"pottery","decor","dragged_comb"
"299",8,11,280.759375034966,"pottery","decor","dragged_comb"
"300",8,12,241.296572936871,"pottery","decor","dragged_comb"
"301",8,20,170.048808604239,"pottery","decor","dragged_comb"
"302",8,15,183.643173404075,"pottery","decor","dragged_comb"
"303",8,16,383.430801587597,"pottery","decor","dragged_comb"
"304",8,17,382.988562504726,"pottery","decor","dragged_comb"
"305",9,3,20.9800261939457,"pottery","decor","dragged_comb"
"306",9,10,25.5355115539068,"pottery","decor","dragged_comb"
"307",9,11,21.3649169450475,"pottery","decor","dragged_comb"
"308",9,12,18.361920200452,"pottery","decor","dragged_comb"
"309",9,20,12.9401864923704,"pottery","decor","dragged_comb"
"310",9,15,13.9746754558574,"pottery","decor","dragged_comb"
"311",9,16,29.1778938070073,"pottery","decor","dragged_comb"
"312",9,17,29.1442407855393,"pottery","decor","dragged_comb"
"313",3,10,96.8662810273295,"pottery","decor","dragged_comb"
"314",3,11,81.045568425587,"pottery","decor","dragged_comb"
"315",3,12,69.6540156864904,"pottery","decor","dragged_comb"
"316",3,20,49.087238321812,"pottery","decor","dragged_comb"
"317",3,15,53.011463550089,"pottery","decor","dragged_comb"
"318",3,16,110.683275536837,"pottery","decor","dragged_comb"
"319",3,17,110.555616334551,"pottery","decor","dragged_comb"
"320",10,11,98.6433491451857,"pottery","decor","dragged_comb"
"321",10,12,84.7782984585433,"pottery","decor","dragged_comb"
"322",10,20,59.7457662697165,"pottery","decor","dragged_comb"
"323",10,15,64.5220757809847,"pottery","decor","dragged_comb"
"324",10,16,134.716421951406,"pottery","decor","dragged_comb"
"325",10,17,134.561043545069,"pottery","decor","dragged_comb"
"326",11,12,70.931859010755,"pottery","decor","dragged_comb"
"327",11,20,49.9877721844746,"pottery","decor","dragged_comb"
"328",11,15,53.9839896010187,"pottery","decor","dragged_comb"
"329",11,16,112.713824434248,"pottery","decor","dragged_comb"
"330",11,17,112.583823249841,"pottery","decor","dragged_comb"
"331",12,20,42.9616219061626,"pottery","decor","dragged_comb"
"332",12,15,46.3961414736842,"pottery","decor","dragged_comb"
"333",12,16,96.8710646089911,"pottery","decor","dragged_comb"
"334",12,17,96.7593360504298,"pottery","decor","dragged_comb"
